images,values,sepal_length,sepal_width,petal_length,petal_width
00\000000.png,0,-0.91980696,0.9846216,-1.3414872,-1.3271719
00\000001.png,0,-1.5476615,0.106148586,-1.2841177,-1.3271719
00\000002.png,0,-1.0453777,1.2042396,-1.3414872,-1.3271719
00\000003.png,0,-0.54309404,1.8630947,-1.169379,-1.0623996
00\000004.png,0,-1.5476615,0.7650036,-1.3414872,-1.1947857
00\000005.png,0,-1.0453777,0.7650036,-1.2841177,-1.3271719
00\000006.png,0,-1.1709485,0.106148586,-1.2841177,-1.4595582
00\000007.png,0,-0.54309404,1.4238582,-1.2841177,-1.3271719
00\000008.png,0,-1.2965193,0.7650036,-1.2267485,-1.3271719
00\000009.png,0,-1.9243739,-0.113469414,-1.5135953,-1.4595582
00\000010.png,0,-0.040810306,2.0827127,-1.4562259,-1.3271719
00\000011.png,0,-0.16638169,2.961186,-1.2841177,-1.0623996
00\000012.png,0,-0.54309404,1.8630947,-1.3988565,-1.0623996
00\000013.png,0,-0.91980696,0.9846216,-1.3414872,-1.1947857
00\000014.png,0,-0.16638169,1.6434761,-1.169379,-1.1947857
00\000015.png,0,-0.91980696,1.6434761,-1.2841177,-1.1947857
00\000016.png,0,-0.54309404,0.7650036,-1.169379,-1.3271719
00\000017.png,0,-0.91980696,1.4238582,-1.2841177,-1.0623996
00\000018.png,0,-1.5476615,1.2042396,-1.5709646,-1.3271719
00\000019.png,0,-1.0453777,-0.113469414,-1.2267485,-1.3271719
00\000020.png,0,-1.0453777,0.7650036,-1.2267485,-1.0623996
00\000021.png,0,-0.7942362,0.9846216,-1.2841177,-1.3271719
00\000022.png,0,-1.4220906,0.32576713,-1.2267485,-1.3271719
00\000023.png,0,-1.2965193,0.106148586,-1.2267485,-1.3271719
00\000024.png,0,-0.54309404,0.7650036,-1.2841177,-1.0623996
00\000025.png,0,-0.41752326,2.5219488,-1.3414872,-1.3271719
00\000026.png,0,-1.1709485,0.106148586,-1.2841177,-1.4595582
00\000027.png,0,-1.0453777,0.32576713,-1.4562259,-1.3271719
00\000028.png,0,-0.41752326,0.9846216,-1.3988565,-1.3271719
00\000029.png,0,-1.7988031,-0.113469414,-1.3988565,-1.3271719
00\000030.png,0,-0.91980696,0.7650036,-1.2841177,-1.3271719
00\000031.png,0,-1.0453777,0.9846216,-1.3988565,-1.1947857
00\000032.png,0,-1.6732323,-1.650797,-1.3988565,-1.1947857
00\000033.png,0,-1.7988031,0.32576713,-1.3988565,-1.3271719
00\000034.png,0,-1.0453777,0.9846216,-1.2267485,-0.79762703
00\000035.png,0,-0.91980696,1.6434761,-1.0546403,-1.0623996
00\000036.png,0,-1.2965193,-0.113469414,-1.3414872,-1.1947857
00\000037.png,0,-0.91980696,1.6434761,-1.2267485,-1.3271719
00\000038.png,0,-1.5476615,0.32576713,-1.3414872,-1.3271719
00\000039.png,0,-0.6686648,1.4238582,-1.2841177,-1.3271719
01\000040.png,1,1.4660404,0.32576713,0.551702,0.2614628
01\000041.png,1,1.3404696,0.106148586,0.66644096,0.39384907
01\000042.png,1,-0.41752326,-1.650797,0.15011652,0.12907653
01\000043.png,1,0.8381858,-0.55270594,0.4943327,0.39384907
01\000044.png,1,0.5870442,0.5453851,0.551702,0.52623534
01\000045.png,1,-1.1709485,-1.4311785,-0.25146914,-0.2680821
01\000046.png,1,0.9637566,-0.33308738,0.4943327,0.12907653
01\000047.png,1,-0.7942362,-0.77232397,0.09274721,0.2614628
01\000048.png,1,-1.0453777,-2.3096514,-0.13673034,-0.2680821
01\000049.png,1,0.21033128,-1.870415,0.15011652,-0.2680821
01\000050.png,1,-0.29195246,-0.33308738,-0.07936102,0.12907653
01\000051.png,1,1.0893273,0.106148586,0.37959406,0.2614628
01\000052.png,1,-0.29195246,-0.113469414,0.43696338,0.39384907
01\000053.png,1,0.4614728,-1.870415,0.43696338,0.39384907
01\000054.png,1,0.08476048,0.32576713,0.6090716,0.79100776
01\000055.png,1,0.33590204,-0.55270594,0.15011652,0.12907653
01\000056.png,1,0.5870442,-1.2115605,0.66644096,0.39384907
01\000057.png,1,0.33590204,-0.55270594,0.551702,-0.0033095821
01\000058.png,1,0.712615,-0.33308738,0.32222474,0.12907653
01\000059.png,1,0.9637566,-0.113469414,0.37959406,0.2614628
01\000060.png,1,1.2148987,-0.55270594,0.6090716,0.2614628
01\000061.png,1,1.0893273,-0.113469414,0.72381026,0.6586216
01\000062.png,1,0.21033128,-0.33308738,0.43696338,0.39384907
01\000063.png,1,-0.41752326,-1.4311785,0.035377756,-0.13569586
01\000064.png,1,-0.41752326,-1.4311785,-0.021991564,-0.2680821
01\000065.png,1,-0.040810306,-0.77232397,0.09274721,-0.0033095821
01\000066.png,1,0.21033128,-0.77232397,0.78117955,0.52623534
01\000067.png,1,0.21033128,0.7650036,0.43696338,0.52623534
01\000068.png,1,1.0893273,0.106148586,0.551702,0.39384907
01\000069.png,1,0.5870442,-1.650797,0.37959406,0.12907653
01\000070.png,1,-0.41752326,-1.2115605,0.15011652,0.12907653
01\000071.png,1,-0.41752326,-0.99194247,0.37959406,-0.0033095821
01\000072.png,1,-0.040810306,-0.99194247,0.15011652,-0.0033095821
01\000073.png,1,-1.0453777,-1.650797,-0.25146914,-0.2680821
01\000074.png,1,-0.29195246,-0.77232397,0.26485515,0.12907653
01\000075.png,1,-0.16638169,-0.113469414,0.26485515,-0.0033095821
01\000076.png,1,-0.16638169,-0.33308738,0.26485515,0.12907653
01\000077.png,1,0.4614728,-0.33308738,0.32222474,0.12907653
01\000078.png,1,-0.91980696,-1.2115605,-0.42357722,-0.13569586
01\000079.png,1,-0.16638169,-0.55270594,0.20748584,0.12907653
02\000080.png,2,0.5870442,0.5453851,1.2975041,1.7177114
02\000081.png,2,-0.040810306,-0.77232397,0.78117955,0.923394
02\000082.png,2,1.5916111,-0.113469414,1.2401347,1.1881664
02\000083.png,2,0.5870442,-0.33308738,1.0680264,0.79100776
02\000084.png,2,0.8381858,-0.113469414,1.1827654,1.3205528
02\000085.png,2,2.2194657,-0.113469414,1.6417203,1.1881664
02\000086.png,2,-1.1709485,-1.2115605,0.43696338,0.6586216
02\000087.png,2,1.8427533,-0.33308738,1.4696122,0.79100776
02\000088.png,2,1.0893273,-1.2115605,1.1827654,0.79100776
02\000089.png,2,1.7171819,1.2042396,1.3548734,1.7177114
02\000090.png,2,0.8381858,0.32576713,0.78117955,1.0557803
02\000091.png,2,0.712615,-0.77232397,0.8959185,0.923394
02\000092.png,2,1.2148987,-0.113469414,1.0106571,1.1881664
02\000093.png,2,-0.16638169,-1.2115605,0.72381026,1.0557803
02\000094.png,2,-0.040810306,-0.55270594,0.78117955,1.5853254
02\000095.png,2,0.8381858,-0.113469414,1.0106571,0.79100776
02\000096.png,2,2.3450365,-0.99194247,1.8138285,1.4529389
02\000097.png,2,0.21033128,-1.870415,0.72381026,0.39384907
02\000098.png,2,1.3404696,0.32576713,1.1253958,1.4529389
02\000099.png,2,-0.29195246,-0.55270594,0.66644096,1.0557803
02\000100.png,2,0.5870442,-0.77232397,0.66644096,0.79100776
02\000101.png,2,1.0893273,0.5453851,1.1253958,1.1881664
02\000102.png,2,0.4614728,-0.55270594,0.6090716,0.79100776
02\000103.png,2,0.33590204,-0.113469414,0.66644096,0.79100776
02\000104.png,2,1.9683241,-0.55270594,1.3548734,0.923394
02\000105.png,2,2.5961785,1.6434761,1.5269816,1.0557803
02\000106.png,2,0.712615,-0.55270594,1.0680264,1.3205528
02\000107.png,2,0.5870442,-0.55270594,0.78117955,0.39384907
02\000108.png,2,0.33590204,-0.99194247,1.0680264,0.2614628
02\000109.png,2,0.5870442,0.7650036,1.0680264,1.5853254
02\000110.png,2,0.712615,0.106148586,1.0106571,0.79100776
02\000111.png,2,0.21033128,-0.113469414,0.6090716,0.79100776
02\000112.png,2,1.3404696,0.106148586,0.9532878,1.1881664
02\000113.png,2,1.0893273,0.106148586,1.0680264,1.5853254
02\000114.png,2,1.3404696,0.106148586,0.78117955,1.4529389
02\000115.png,2,1.2148987,0.32576713,1.2401347,1.4529389
02\000116.png,2,1.0893273,0.5453851,1.1253958,1.7177114
02\000117.png,2,0.5870442,-1.2115605,0.72381026,0.923394
02\000118.png,2,0.4614728,0.7650036,0.9532878,1.4529389
02\000119.png,2,0.08476048,-0.113469414,0.78117955,0.79100776
